year,avg_rating
1916,9.0
1921,8.3
1922,8.2
1924,8.133333333333333
1925,8.1
1926,8.1
1927,8.3
1928,8.0
1930,8.1
1931,8.5
1933,7.900000000000001
1935,8.1
1936,8.2
1938,7.9
1939,8.14
1940,8.133333333333335
1941,8.059999999999999
1942,8.5
1944,8.3
1945,7.9
1946,8.092307692307696
1948,8.0
1949,8.1
1951,8.033333333333333
1952,8.15
1953,8.0
1954,8.266666666666667
1955,8.0
1956,8.0
1957,8.5
1958,8.15
1959,8.200000000000001
1960,8.372727272727273
1961,8.3
1962,8.200000000000001
1963,8.139999999999999
1964,8.15
1965,8.02
1966,7.966666666666666
1967,8.033333333333333
1968,8.085714285714285
1969,8.025
1970,7.9
1971,8.083333333333334
1972,8.4
1973,8.066666666666666
1974,8.466666666666667
1975,8.08888888888889
1976,8.149999999999999
1977,8.48
1978,8.1
1979,8.5
1980,8.157142857142857
1981,8.233333333333334
1982,8.115384615384615
1983,8.3
1984,8.225000000000001
1985,8.366666666666667
1986,8.257142857142858
1987,8.116666666666667
1988,8.2
1989,8.1
1990,8.0
1991,8.1
1992,8.049999999999999
1993,8.200000000000001
1994,8.46923076923077
1995,8.372727272727273
1996,8.1
1997,8.225
1998,8.32
1999,8.341666666666665
2000,8.3625
2001,8.194117647058823
2002,8.358333333333334
2003,8.22
2004,8.110526315789473
2005,8.209090909090909
2006,8.214285714285715
2007,8.066666666666666
2008,8.383333333333335
2009,8.093750000000002
2010,8.309090909090909
2011,8.29
2012,8.275
2013,8.065
2014,8.116666666666667
2015,8.274999999999999
2016,8.152941176470588
2017,8.199999999999998
2018,8.272727272727273
2019,8.187096774193549
2020,8.175
2021,8.15
2022,8.299999999999999
2023,8.315384615384614
