movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt26626687,The Universal Quest,2023,,145 min,"Adventure, Sci-Fi",10.0,"""The Universal Quest"" is a sci-fi epic that takes the audience on a thrilling journey through the vast reaches of space. The film explores the mysteries of the universe and the search for ...                See full summary »",Juwel Chowdhury,/name/nm14291057/,"Juwel Chowdhury, 
Ricky Riyaf","/name/nm14291057/,/name/nm14500691/",6.0,
tt12396978,Journey of Eternity,2019,,100 min,"Drama, History",10.0,"After his beloved fiancé was forcibly taken away, Esho a school teacher, is falsely accused of committing a crime and gets thrown in an Iraqi prison. While in prison, he witnesses the ...                See full summary »",Frank Gilbert,/name/nm11662376/,"Abee Sargis, 
Tarik Akreyî, 
Kadhim Al-Quraishiy, 
Ahmed Touma Al-Tamimi","/name/nm8497579/,/name/nm2471679/,/name/nm11610522/,/name/nm11638594/",9.0,
tt26626687,The Universal Quest,2023,,145 min,"Adventure, Sci-Fi",10.0,"""The Universal Quest"" is a sci-fi epic that takes the audience on a thrilling journey through the vast reaches of space. The film explores the mysteries of the universe and the search for ...                See full summary »",Juwel Chowdhury,/name/nm14291057/,"Juwel Chowdhury, 
Ricky Riyaf","/name/nm14291057/,/name/nm14500691/",6.0,
tt21345048,Tahanan (Home),2022,,62 min,"Drama, Romance",10.0,"After being forced to move to the United States due to financial struggles, a young Filipino boy named Jerome questions what home really means to him.",Nicholas Barber,/name/nm8246771/,"Hans Braga, 
Carsen Schroeder, 
Angela T. Baesa, 
Elmor C Garlitos","/name/nm13615804/,/name/nm13535767/,/name/nm4262127/,/name/nm9191741/",22.0,
tt26589967,Time's Paradox,2023,,130 min,"History, Sci-Fi",10.0,"""Time's Paradox"" follows Juwel Chowdhury, a young and ambitious scientist, as he joins forces with the fearless time traveler, Ricky Riyaf. Together, they embark on a dangerous mission to ...                See full summary »",Juwel Chowdhury,/name/nm14291057/,"Juwel Chowdhury, 
Ricky Riyaf","/name/nm14291057/,/name/nm14500691/",6.0,
tt26520259,Invisible Hacker,2023,,150 min,"Action, Sci-Fi",10.0,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...                See full summary »",Juwel Chowdhury,/name/nm14291057/,"Juwel Chowdhury, 
Ricky Riyaf","/name/nm14291057/,/name/nm14500691/",14.0,
tt14772998,Don Cutting 2,2021,,,Romance,10.0,Add a Plot,Krunal Rane,/name/nm11559954/,"Yatin Karyekar, 
Akshay Kelkar, 
Samruddhi Kelkar","/name/nm1244971/,/name/nm10286032/,/name/nm11559977/",5.0,
tt22941072,An Example of Teenage Boredom: The Movie,2022,,46 min,"Action, Comedy, Western",10.0,"It's the time of the Wild West. No. It's the time of the late 80s. Uh. It's the time of the Present Time. Nope. Hold on. Thunder and Laughter. No. Stairs. Walking. And more stairs. No. Grass. Sky. An-Old-Man-Near-A-Tree. Oh, it's done.","Lachlan Mlinaric, 
Russell Stanley",/name/nm13915996/,"William Cherry, 
Isaac Hutchins, 
Lily Hutchins, 
John Mlinaric","/name/nm13916000/,/name/nm13915997/,/name/nm13915998/,/name/nm13937615/,/name/nm14013031/",5.0,
tt12718280,She Inherited Danger,2022,,,Thriller,10.0,Add a Plot,Peter Foldy,/name/nm0003328/,"Sarah Fisher, 
Conner Floyd, 
Robert Peters, 
Tiffany Montgomery","/name/nm5162352/,/name/nm7903324/,/name/nm0676649/,/name/nm2095123/",6.0,
tt26627413,The Puzzling Secret,2020,,170 min,Mystery,10.0,Add a Plot,Juwel Chowdhury,/name/nm14291057/,"Juwel Chowdhury, 
Ricky Riyaf","/name/nm14291057/,/name/nm14500691/",6.0,
tt26589967,Time's Paradox,2023,,130 min,"History, Sci-Fi",10.0,"""Time's Paradox"" follows Juwel Chowdhury, a young and ambitious scientist, as he joins forces with the fearless time traveler, Ricky Riyaf. Together, they embark on a dangerous mission to ...                See full summary »",Juwel Chowdhury,/name/nm14291057/,"Juwel Chowdhury, 
Ricky Riyaf","/name/nm14291057/,/name/nm14500691/",6.0,
tt26520259,Invisible Hacker,2023,,150 min,"Action, Sci-Fi",10.0,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...                See full summary »",Juwel Chowdhury,/name/nm14291057/,"Juwel Chowdhury, 
Ricky Riyaf","/name/nm14291057/,/name/nm14500691/",14.0,
tt5873376,Love Mein,2022,,60 min,"Action, Romance",10.0,This is 2016's love story where the only daughter of multi-millionaire businessman is in deep love with son of his co-worker. Would her father accept the relationship or not?,Kumud Pant,/name/nm5126893/,"Kumud Pant, 
Pooja Kimaya, 
Atul Sharma, 
Bharat Mistri","/name/nm5126893/,/name/nm8290316/,/name/nm4452726/,/name/nm5126775/",6.0,
tt22773492,Nerazumevalica (Understandinglessness),2022,,,"Family, Fantasy",9.9,"In ancient times, the country was ruled by Mudrozica - the Sorceress of the country. She equally divided her's powers among the inhabitants of six different Unions: the Uraganopolci, the ...                See full summary »",Aleksa Maksimovic,/name/nm14132327/,"Sofija Brankovic, 
Dusan Drazeta, 
Marko Milicevic, 
Djordje Mirkovic","/name/nm14138081/,/name/nm14138084/,/name/nm14138083/,/name/nm11504951/",52.0,
tt12585100,Low Heat,2021,,48 min,"Action, Comedy, Drama",9.9,The foul mouth quick quipping Jamal becomes involved with two greedy drug dealers in a drug deal that's gone completely off track. Jamal becomes captured alongside an unlikely ally. The ...                See full summary »,John Carroll DeShazier,/name/nm6650737/,"Clinton D. Walker, 
Dustin Bennett, 
Ricardo Randall, 
Warren Franks","/name/nm10434613/,/name/nm7188546/,/name/nm11688071/,/name/nm10051534/",7.0,
tt22768254,Kalpvariksha (Part One): Paramchakra,2022,,50 min,"Adventure, Thriller",9.9,Vinayak found his way to attain the powers of Kalpvariksha through Paramchakra but there were adverse consequences,Rehan Katrawale,/name/nm13594007/,"Rehan Katrawale, 
Sunaksh Bhagat, 
Atul Dogra, 
Pankaj Kumar","/name/nm13594007/,/name/nm14264890/,/name/nm14189287/,/name/nm14137515/",7.0,
tt1228989,Maanavudu Daanavudu,1986,,140 min,Family,9.9,Add a Plot,C.V. Ramana Babu,/name/nm3003296/,"Mohan Babu, 
Rajani","/name/nm0595934/,/name/nm0707352/",137.0,
tt22773492,Nerazumevalica (Understandinglessness),2022,,,"Family, Fantasy",9.9,"In ancient times, the country was ruled by Mudrozica - the Sorceress of the country. She equally divided her's powers among the inhabitants of six different Unions: the Uraganopolci, the ...                See full summary »",Aleksa Maksimovic,/name/nm14132327/,"Sofija Brankovic, 
Dusan Drazeta, 
Marko Milicevic, 
Djordje Mirkovic","/name/nm14138081/,/name/nm14138084/,/name/nm14138083/,/name/nm11504951/",52.0,
